NumElements,Datatype,Dataset,avgHistogram,avgScan,avgPaste,avgReorder,avgTotalGPU,avgTotalSTLCPU,avgTotalRDXCPU
16,uint64_t,Uniform random,0.00520833,0.0842609,0.102563,0,3.34288,0,3.12424
16,uint64_t,Random,0.16275,0,0.162767,0,3.12512,0,0
16,int64_t,Zeros,0,0.00521042,0,0.33422,6.8178,0,0
16,int64_t,Range,0.349422,0.00261458,0.010425,0,3.32576,0,0
16,int64_t,Inverted range,0.16274,0.0988323,0,0.00521458,3.89528,3.12526,0
16,int64_t,Uniform random,0,0.0813839,0,0.162709,6.24916,0,3.1239
16,int64_t,Random,0,0.081376,0,0.162664,3.12484,0,0
32,uint32_t,Zeros,0.0104396,0.134278,0.0104396,0.32556,3.12538,0,0
32,uint32_t,Range,0,0,0,0,3.1249,0,3.12374
32,uint32_t,Inverted range,0.346165,0.0797667,0,0,1.83208,0,0
32,uint32_t,Uniform random,0,0.162682,0.32554,0,3.12518,0,0
32,uint32_t,Random,0.32551,0,0,0,3.1249,0,3.12344
32,int32_t,Zeros,0,0.162679,0,0,0,0,0
32,int32_t,Range,0.32546,0,0.325517,0,3.12496,0,0
32,int32_t,Inverted range,0.0584833,0,0,0.0208563,3.88656,0,3.12442
32,int32_t,Uniform random,0,0.0156458,0,0,2.2659,0,3.12354
32,int32_t,Random,0,0.162709,0,0,0,0,0
32,uint64_t,Zeros,0,0.00521094,0.134791,0,2.78808,0,0
32,uint64_t,Range,0,0.0813792,0,0.162768,6.2501,3.12478,0
32,uint64_t,Inverted range,0,0.0970458,0.120621,0,3.42636,0,0
32,uint64_t,Uniform random,0,0,0,0.0981542,5.20998,0,3.12426
32,uint64_t,Random,0,0,0.162768,0,6.2501,0,3.12514
32,int64_t,Zeros,0,0.0891969,0.012976,0,3.6743,0,3.12496
32,int64_t,Range,0.00522292,0.0892802,0,0.16855,6.76526,0,3.12372
32,int64_t,Inverted range,0,0.00779167,0,0,5.73938,0,3.1228
32,int64_t,Uniform random,0,0.0813729,0,0,3.12472,0,3.1239
32,int64_t,Random,0,0.0813484,0,0.162774,6.24904,0,0
64,uint32_t,Zeros,0,0,0,0.325498,3.12478,0,3.12514
64,uint32_t,Range,0,0,0,0,3.12296,0,0
64,uint32_t,Inverted range,0,0,0,0,3.12278,0,0
64,uint32_t,Uniform random,0,0,0,0,3.12496,0,3.12356
64,uint32_t,Random,0.0104167,0.167172,0.0104521,0,3.2097,0,3.12426
64,int32_t,Zeros,0,0.162765,0,0,3.12508,0,0
64,int32_t,Range,0,0.118054,0,0,5.49102,0,0
64,int32_t,Inverted range,0,0.00521771,0,0.228296,0,3.12438,0
64,int32_t,Uniform random,0.0208813,0.164517,0,0,3.45924,3.12574,0
64,int32_t,Random,0,0,0.0312854,0.325412,2.49872,0,0
64,uint64_t,Zeros,0,0.0813792,0.0104406,0.00595313,6.66472,0,0
64,uint64_t,Range,0,0.0813901,0.162749,0,6.25016,3.12342,0
64,uint64_t,Inverted range,0.162767,0.0813766,0,0,6.24998,0,3.12518
64,uint64_t,Uniform random,0,0,0.162761,0.162764,6.25008,0,3.12514
64,uint64_t,Random,0.162774,0.00258125,0,0.151312,6.22968,0,3.12502
64,int64_t,Zeros,0,0.0813865,0.162655,0,6.24822,0,0
64,int64_t,Range,0.00950833,0,0,0.00521458,3.32548,0,3.12518
64,int64_t,Inverted range,0,0.0622682,0.00522917,0.168,5.7171,0,3.1242
64,int64_t,Uniform random,0.00523542,0.066824,0.0104385,0.162785,3.42594,0,3.12302
64,int64_t,Random,0,0,0,0.162771,6.25022,0,3.12296
128,uint32_t,Zeros,0,0,0,0.325492,3.12472,0,0
128,uint32_t,Range,0,0,0.325473,0,3.12454,0,3.1252
128,uint32_t,Inverted range,0,0.162716,0,0,3.12414,3.12396,0
128,uint32_t,Uniform random,0,0,0.0208979,0.169521,1.82802,0,3.1232
128,uint32_t,Random,0.2379,0.162655,0,0.0208854,2.48434,0,0
128,int32_t,Zeros,0,0,0,0,3.1249,0,0
128,int32_t,Range,0,0,0,0,3.12496,3.1249,0
128,int32_t,Inverted range,0,0.00520521,0.0104958,0,0,0,0
128,int32_t,Uniform random,0.325523,0,0,0,3.12502,0,3.12366
128,int32_t,Random,0,0.0104427,0.165123,0,1.78568,0,0
128,uint64_t,Zeros,0,0.0813729,0,0,6.24974,0,0
128,uint64_t,Range,0,0,0,0,3.12496,0,0
128,uint64_t,Inverted range,0,0.0891901,0,0,5.18548,3.12378,0
128,uint64_t,Uniform random,0,0.0865911,0.167997,0.00525417,5.54492,3.12338,0
128,uint64_t,Random,0,0.0816036,0.0104469,0.090851,3.33408,3.12338,0
128,int64_t,Zeros,0.330705,0.00521615,0,0.0149188,7.03726,0,0
128,int64_t,Range,0,0.162766,0,0,6.2502,0,0
